京都三大祭りとは、5月の葵祭、7月の祇園祭と10月の何祭でしょう？,時代祭(じだいまつり)
世界で一番早く太陽が昇ることから、国旗に日の出の太陽がデザインされている国はどこでしょう？,キリバス
国連に加盟している国の首都の中で最も北に位置している、アイスランドの首都はどこでしょう？,レイキャビク
和歌山県に存在する、本州最南端の岬は何でしょう？,潮岬(しおのみさき)
全高828メートルである、アラブ首長国連邦のドバイにある世界で最も高い高層ビルは何でしょう？,ブルジュ・ハリファ
「QRコード」の「QR」とは何という言葉の略でしょう？,クイック・レスポンス
小麦粉の英語「フラワー」にあって、花の英語「フラワー」にないアルファベットは何でしょう？,u
『ひまわり』を描いたのはゴッホですが、『ひまわりを描くゴッホ』を描いたのは誰でしょう？,ゴーギャン
ポテトサラダやアイスクリームをすくうのに用いる、半球状の器に取っ手がついた器具を何というでしょう？,ディッシャー
日本でいう「郵便番号」をアメリカではアルファベット3文字で「何コード」というでしょう？,ZIPコード
赤外線を表す「IR」とは、何という言葉の略称でしょう？,インフラ・レッド
国連加盟国を英語表記したときに、唯一「Y」で始まる国はどこでしょう？,イエメン
国連加盟国を英語表記したときに、唯一「Q」で始まる国はどこでしょう？,カタール
国連加盟国を英語表記したときに、「J」で始まる国は日本とどこでしょう？,ヨルダン
「写真が間違っている」「気持ちが入っていないからボールだ」「おれがルールブックだ」などの言葉で知られるプロ野球のもと元審判は誰でしょう？,二出川延明(にでがわのぶあき)
ダッフルコートに用いられる、浮型の留め具のことをなんというでしょう？,トグル
態度を急変させることを「手のひらを返す」と言いますが、後戻りすることを「何を返す」というでしょう？,踵(きびす)を返す
ナイアガラの滝を構成する3つの滝とは、アメリカ滝、カナダ滝ともう1つはなんでしょう？,ブライダルベール滝
ノーベル賞の6部門の中で唯一、授賞式がノルウェーのオスロで行われるのはどこでしょう？,平和賞
在任期間が54日で歴代内閣総理大臣の中で最も短いかつ唯一の皇族出身者であるのは誰でしょう？,東久邇宮稔彦王(ひがしくにのみやなるひこおう)
その漢字表記とは裏腹に蒸して売られている、豚のひき肉を小麦粉の皮で包む中華料理はなんでしょう？,焼売
ことわざ「頭隠して尻隠さず」の由来となった動物は何でしょう？,キジ
1985年の「バックスクリーン3連発」を打ったのはランディ・バース、掛布雅之ともう1人は誰でしょう？,岡田彰布(おかだあきのぶ)
茶道の流派である「三千家」とは表千家、裏千家と何でしょう？,武者小路千家
合成数57のことを、講演中に誤って57を素数として説明してしまったフランス人数学者の名前をとって何素数というでしょう？,グロタンディーク素数
16世紀にフィリピンのマクタン島で、世界一周を目指していたマゼランを討ち取り、フィリピンの国民的英雄とされている人物は誰でしょう？,ラプ＝ラプ
パイロットとしては欧州-南米間の飛行航路開拓に携わった、代表作に『夜間飛行』、『人間の土地』、『星の王子さま』などがあるフランスの作家は誰でしょう？,サン＝テグジュペリ
オリンピックの金メダル獲得数が23個で史上最多の記録を持つ、「水の怪物」と呼ばれるアメリカの競泳選手は誰でしょう？,マイケル・フェルプス
1864年に4つの方程式を導いて古典電磁気学の基礎を確立したイギリスの物理学者は誰でしょう？,マクスウェル
手首につける装飾品はブレスレットですが、足首につける装飾品は何でしょう？,アンクレット
日本の都道府県で、最高地点が最も低いのはどこでしょう？,千葉県
全長13.5メートルと法定河川では最も短い、和歌山県にある川の名前は何でしょう？,ぶつぶつ川
原子番号1番の元素は水素、11番の元素はナトリウムですが、111番の元素は何でしょう？,レントゲニウム
原子番号1番の元素は水素、10番の元素はネオンですが、100番の元素は何でしょう？,フェルミウム
1958年には「インスリンの構造研究」、1980年には「核酸の塩基配列の決定」でノーベル化学賞を2度受賞した人物は誰でしょう？,フレデリック・サンガー
最狭幅が9.93メートルであり、世界で1番狭い海峡としてギネス記録に認定されている、小豆島と前島の間にある海峡の名前は何でしょう？,土渕(どふち)海峡
女性初のノーベル文学賞受賞者である、代表作に『ニルスの不思議な旅』などがあるスウェーデン人の作家は誰でしょう？,ラーゲルレーヴ
スピンと呼ばれるしおり紐がついていることやぶどうのトレードマークで知られる文庫レーベルは何でしょう？,新潮文庫
背後から差し込んだ太陽の光が散乱されることで虹のような光の輪ができる現象を、この現象がよく観察されるドイツの山の名前から何現象というでしょう？,ブロッケン現象
正式には「カサ・ロサダ」という、アルゼンチンの大統領官邸のことをある色を用いて何というでしょう？,ピンクハウス
音楽記号で、D.C.はダ・カーポのことですが、D.S.は何のことでしょう？,ダル・セーニョ
野球の公式球の縫い目の数はいくつでしょう？,108
2018年に国名が変更された、旧国名をスワジランドという国はどこでしょう？,エスワティニ
1941年に日本競馬史上初のクラシック三冠馬となった競走馬の名前は何でしょう？,セントライト
その中の一節である「我思う、ゆえに我あり」が有名である、1637年に刊行されたデカルトの著書は何でしょう？,『方法序説』
1937年にアンドレ・パトリーが発見した小惑星を、小惑星番号が3142であることから何と呼ぶでしょう？,キロパイ
イオ、エウロパ、ガニメデ、カリストという4つの木星の衛星のことを、発見者の名前から何衛星というでしょう？,ガリレオ衛星
ジョージ・ワシントン、トーマス・ジェファーソン、セオドア・ルーズベルト、エイブラハム・リンカーンの4人のアメリカ大統領の巨大な胸像が彫られている、アメリカのサウスダコタ州にある建造物は何でしょう？,ラシュモア山
その国名はフランス語で「象牙海岸」を意味する、首都をヤムスクロにおくアフリカの国はどこでしょう？,コートジボワール
相撲用語で、太った力士のことを「アンコ」というのに対し、痩せた力士のことを何というでしょう？,ソップ
同じ長さの線分でも、外向きの矢羽が付いている方が内向きの矢羽が付いている方より長く見える錯視のことを、これを発表したドイツの心理学者の名前をとって何錯視というでしょう？,ミュラー・リヤー錯視
日本語では「止揚」という、ドイツの哲学者ヘーゲルが弁証法の中で提唱した概念は何でしょう？,アウフヘーベン
エスキモーやインディアンが使うそりの名前にもなっている、ペンギンが腹ばいになって滑る行為を何というでしょう？,トボガン
平安時代後期から室町時代前期に成立した「四鏡」とは、『大鏡』、『今鏡』、『水鏡』ともう1つは何でしょう？,増鏡(ますかがみ)
南米大陸の中で唯一公用語がオランダ語である、首都をパラマリボに置く国はどこでしょう？,スリナム
「数字は独身に限る」が正式な名前である、縦横斜め、さらには3×3のブロック内に1から9までの数字を当てはめるパズルを何というでしょう？,数独
日本で1番高い山は富士山ですが、日本で1番低い山は何でしょう？,日和山(ひよりやま)
中国の官吏登用試験である「科挙」において、最も優れた答案が1番上に置かれたことに由来する、他のものより優れていることを指す言葉は何でしょう？,圧巻
一般に世界三大貴腐ワインと呼ばれるのは、トカイ、ソーテルヌともう1つはなんでしょう？,トロッケンベーレンアウスレーゼ
NTTの3桁電話番号サービスで、「災害用伝言ダイヤル」を利用するための番号は何番でしょう？,171
タイのスープである「トムヤムクン」のトムは「煮る」、ヤムは「混ぜる」を意味しますが、クンは何を意味するでしょう？,エビ
1945年に行われたヤルタ会談に出席した3人の首脳とは、アメリカのルーズベルト、ソ連のスターリンとイギリスの誰でしょう？,チャーチル
「悪貨は良貨を駆逐する」という経済学上の法則のことを、イギリスの財政家の名前から何の法則というでしょう？,グレシャムの法則
「人気のバロメーター」などという時の「バロメーター」とは元々何を測る道具のことでしょう？,気圧
冷たい物を食べた時に頭が「キーン」と痛くなる現象を、代表的な冷たい食べ物の名前を用いて「何頭痛」というでしょう？,アイスクリーム頭痛
世界で最も大きい国はロシアですが、最も小さい国はどこでしょう？,バチカン市国
西部劇などでよく見かける、乾燥地帯などで風に吹かれて転がる玉状の植物のことを何というでしょう？,タンブルウィード
病気になっても自覚症状が現れにくいことから「沈黙の臓器」と呼ばれる臓器は何でしょう？,肝臓
「おい、地獄さ行ぐんだで！」という書き出しで始まる、プロレタリア文学の代表作といわれる小林多喜二の小説は何でしょう？,蟹工船
「あかい」「まるい」「おおきい」「うまい」という4つの単語が由来である、福岡県の代表的なイチゴのブランドは何でしょう？,あまおう
指揮者のハンス・フォン・ビューローが名付けた「ドイツ三大B」とされる音楽家とは、ベートーベン・バッハともう1人は誰でしょう？,ブラームス
文章中で、文字を間違えることを「誤字」、文字が抜けることを、「脱字」といいますが、余計な文字が入ることを何というでしょう？,衍字(えんじ)
「どっどど　どどうど　どどうど　どどう」という書き出しで始まる、宮沢賢治の小説は何でしょう？,風の又三郎
コンゴ共和国の首都はブラザビルですが、コンゴ民主共和国の首都はどこでしょう？,キンシャサ
西暦645年から650年まで続いた、日本の最初の元号は何でしょう？,大化
本名は録弥(ろくや)である小説家で、代表作に『田舎教師』『蒲団』などがあるのは誰でしょう？,田山花袋(たやまかたい)
五臓六腑の「五臓」といわれる臓器は、心臓・肝臓・腎臓・脾臓と何でしょう？,肺
五臓六腑の「五臓」といわれる臓器は、心臓・肝臓・腎臓・肺と何でしょう？,脾臓
宝塚歌劇団に存在する５つの組の中で、出来たのが最も新しいのは何組でしょう？,宙(そら)組
「サボる」という言葉は何というフランス語が由来でしょう？,サボタージュ
手の爪に施す化粧のことは「マニキュア」といいますが、足の爪に施す化粧のことを何というでしょう？,ペディキュア
全天の中で太陽に次いで2番目に明るい、おおいぬ座のα星は何でしょう？,シリウス
目覚まし機能付き時計に付いている、アラームが鳴る時間をセットする針のことを何というでしょう？,目安針
1928年にアレクサンダー・フレミングが発見した、世界初の抗生物質は何でしょう？,ペニシリン
4年に1度、40歳以下の若手数学者に贈られる、「数学界のノーベル賞」といわれる賞は何でしょう？,フィールズ賞
刻んだゆで卵をちらしたサラダのことを、卵黄がある春の花に見えることから何サラダというでしょう？,ミモザサラダ
見たことあるものをあたかも見たことないように感じることを、「未視感」を意味するフランス語から何というでしょう？,ジャメヴ
フランス語で「千枚の葉」という意味である、何層にも重なるパイ生地の間にクリームをはさんだ洋菓子を何というでしょう？,ミルフィーユ
